event_category,event_action,event_label,total_events,unique_events
city_landing,search-tools-button_open,Verona / Сортировка,1,1
city_landing,filters-categories_click,London / Сначала самые дешевые,10,9
city_landing,price_button_submit,Dubai / Показать предложения (92),5,5
city_landing,price_button_submit,Lviv / Показать предложения (15),2,1
city_landing,price_button_submit,Sortavala / Показать предложения (7),2,2
city_landing,ticket-type_checkbox,Siena / Групповая,1,1
city_landing,search-tools-button_open,Sharm-el-Sheikh / Фильтры Выбрано: 3,1,1
city_landing,price_button_submit,Cappadocia / Показать предложения (21),14,14
city_landing,filters-categories_click,Pyatigorsk / Необычные,32,29
city_landing,filters-categories_click,Veliky Novgorod / Выездные,11,11
city_landing,price_button_submit,Berlin / Показать предложения (48),1,1
City Page,Page Visit,Yuzhno-Sakhalinsk,485,359
city_landing,price_button_submit,Uglich / Показать предложения (1),1,1
city_landing,search-tools-button_open,Belgrade / Сортировка По рейтингу,2,2
city_landing,search-tools-button_open,Akko / Категории Все,1,1
city_landing,search-tools-button_open,Milan / Выбрано: 1,1,1
city_landing,price_button_submit,Ulan-Ude / Показать предложения (14),1,1
city_landing,price_button_submit,Suzdal / Показать предложения (2),7,6
city_landing,search-tools-button_open,Crete / Категории,109,97
city_landing,search-tools-button_open,Vologda / Популярные,2,2
city_landing,price_third,Lazarevskoye,2,1
city_landing,filters-categories_click,Samara / Индивидуальные,20,16
city_landing,filters-categories_click,Kislovodsk / Замок коварства и любви,23,21
city_landing,search-tools-button_open,Bangkok / Все,2,2
city_landing,filters-categories_click,Uglich / Обзорные,1,1
city_landing,search-tools-button_open,Atlantic City / Все,1,1
city_landing,price_button_submit,Smolensk / Показать предложения (25),4,4
city_landing,price_button_submit,Side / Показать предложения (37),9,9
city_landing,price_button_submit,Tula / Показать предложения (39),9,9
city_landing,price_button_submit,Grozny / Показать предложения (34),7,7
city_landing,price_button_submit,Venice / Показать предложения (5),3,2
city_landing,price_button_submit,Adler / Показать предложения (250),4,4
city_landing,price_button_submit,Moscow / Показать предложения (51),27,20
city_landing,price_button_submit,Kazan / Показать предложения (24),30,25
city_landing,dates_filter_mobile,Ljubljana / Сегодня,3,3
city_landing,search-tools-button_open,Vyborg / Индивидуальные,1,1
city_landing,filters-categories_click,Yerevan / Популярные,53,41
city_landing,price_button_submit,Simferopol / Показать предложения (17),1,1
city_landing,search-tools-button_open,Budapest / БУДАПЕШТ ЭКСКУРСИИ,3,3
city_landing,price_button_submit,Smolensk / Показать предложения (6),6,4
city_landing,price_first,Rodos,2,2
city_landing,search-tools-button_open,Vienna / Сортировка Сначала самые дешевые,1,1
city_landing,filters-categories_click,Sochi / Трансферы,17,14
city_landing,search-tools-button_open,Vladimir / Авторские,1,1
city_landing,price_button_submit,Prague / Показать предложения (60),1,1
city_landing,filters-categories_click,Samara / Вечерние экскурсии,4,4
city_landing,price_button_submit,Evpatoria / Показать предложения (28),4,4
City Page,Page Visit,Bassano del Grappa,34,28
city_landing,price_button_submit,Gelendzhik / Показать предложения (32),2,2
City Page,Page Visit,Aqaba,24,21
city_landing,price_button_submit,Perm / Показать предложения (3),7,7
city_landing,price_button_submit,Batumi / Показать предложения (2),19,16
city_landing,price_button_submit,Nalchik / Показать предложения (8),17,15
city_landing,search-tools-button_open,Sochi / Обзорные,11,8
city_landing,price_button_submit,Hamburg / Показать предложения (1),2,2
city_landing,search-tools-button_open,Prague / РУССКИЕ ГИДЫ В ПРАГЕ,1,1
city_landing,price_button_submit,Vienna / Показать предложения (38),3,3
city_landing,search-tools-button_open,Tel Aviv / Сортировка,7,7
city_landing,search-tools-button_open,Uglich / Категории,2,2
city_landing,price_button_submit,Cairo / Показать предложения (19),35,32
city_landing,price_button_submit,Moscow / Show offers (57),2,2
city_landing,price_button_submit,Volgograd / Показать предложения (22),7,5
city_landing,filters-categories_click,Pereslavl-Zalessky / Индивидуальные,16,13
